TIME;NP;PD;TE;ED;LSI;AREA_MN;CLUMPY;AI
1954;14;2.1362;34600;52.7954;6.5683;13.7829;0.9427;95.9597
1954;14;2.1362;36410;55.5573;6.8156;14.2007;0.9404;95.846
1954;12;1.8311;32970;50.3082;6.4311;16.6325;0.9442;96.1221
1954;12;1.8311;31390;47.8973;5.917;17.3633;0.9497;96.5662
1954;12;1.8311;32930;50.2472;6.2862;17.4433;0.9458;96.3126
1954;19;2.8992;35730;54.5197;6.7606;10.5942;0.9409;95.9073
1954;12;1.8311;32340;49.3469;6.2206;16.3575;0.9463;96.2362
1954;11;1.6785;31180;47.5769;5.8546;18.0582;0.9502;96.5294
1954;20;3.0518;30720;46.875;6.0986;10.04;0.9476;96.3687
1954;16;2.4414;32210;49.1486;6.1488;13.0238;0.9473;96.4047
1954;11;1.6785;31030;47.348;5.9858;17.9627;0.9487;96.4166
1954;12;1.8311;30890;47.1344;5.9504;16.4933;0.9491;96.448
1954;12;1.8311;31040;47.3633;5.6197;16.7558;0.9526;96.7142
1954;12;1.8311;27030;41.2445;5.1154;17.0242;0.9579;97.099
1954;12;1.8311;22640;34.5459;4.5544;16.8475;0.9635;97.4769
2011;19;2.8992;62180;94.8792;8.9039;19.4142;0.9051;95.8536
2011;12;1.8311;78960;120.4834;10.8979;30.3667;0.8825;94.7847
2011;17;2.594;72510;110.6415;10.0643;22.1724;0.8893;95.2985
2011;19;2.8992;68940;105.1941;9.7228;19.5163;0.8949;95.4362
2011;20;3.0518;66470;101.4252;9.5354;18.103;0.8991;95.4853
2011;18;2.7466;63400;96.7407;8.953;20.3611;0.9052;95.8226
2011;19;2.8992;61210;93.399;8.8395;18.9274;0.9077;95.8361
2011;21;3.2043;55830;85.1898;7.9319;17.3695;0.9177;96.3511
2011;16;2.4414;65380;99.762;9.3796;22.7831;0.9005;95.5863
2011;21;3.2043;68250;104.1412;9.6545;17.2886;0.8974;95.423
2011;18;2.7466;62400;95.2148;8.9108;20.1078;0.9065;95.8143
2011;21;3.2043;64890;99.0143;9.3386;16.9976;0.9025;95.5613
2011;19;2.8992;65120;99.3652;9.2272;19.2668;0.902;95.6735
2011;22;3.3569;67500;102.9968;9.6037;16.4923;0.8983;95.4589
