TIME; NP ; PD ; TE ; ED ; LSI ; AREA_MN ; CLUMPY ; AI 
1954;6;3.6621;7650;46.6919;3.9906;4.6783;0.9305;94.2447
1954;3;1.8311;6700;40.8936;3.6481;9.5833;0.9385;94.9309
1954;2;1.2207;6810;41.5649;3.4286;15.42;0.9447;95.5086
1954;4;2.4414;6890;42.0532;3.3182;7.5;0.947;95.6706
1954;5;3.0518;6790;41.4429;3.3604;6.154;0.9466;95.6644
1954;7;4.2725;7930;48.4009;3.9;4.2643;0.9334;94.5563
1954;5;3.0518;7420;45.2881;3.8108;6.106;0.936;94.7957
1954;5;3.0518;7130;43.5181;3.8091;5.964;0.9355;94.7216
1954;5;3.0518;7620;46.5088;4.0094;5.608;0.93;94.2021
1954;3;1.8311;5510;33.6304;2.6296;9.71;0.9626;96.922
1954;2;1.2207;4080;24.9023;2.25;14.42;0.9711;97.6148
1954;5;3.0518;6630;40.4663;3.3455;5.99;0.9463;95.6122
1954;5;3.0518;6630;40.4663;3.3455;5.99;0.9463;95.6122
1954;4;2.4414;5420;33.0811;3.0727;7.56;0.9529;96.1603
1954;3;1.8311;6700;40.8936;3.6481;9.5833;0.9385;94.9309
2011;11;6.7139;19930;121.6431;6.5;6.3455;0.8833;93.3005
2011;11;6.7139;19900;121.46;6.7485;6.2773;0.8784;92.9634
2011;7;4.2725;18850;115.0513;6.2262;10.0029;0.8892;93.6542
2011;7;4.2725;15330;93.5669;5.1084;9.7871;0.9134;94.9616
2011;11;6.7139;16510;100.769;5.5269;6.2909;0.9043;94.4709
2011;6;3.6621;20840;127.1973;6.8462;11.7817;0.8756;92.9272
2011;10;6.1035;21840;133.3008;6.8284;7.127;0.8762;93.0067
2011;5;3.0518;16260;99.2432;5.5697;13.6;0.9041;94.3878
2011;6;3.6621;19010;116.0278;6.0237;11.815;0.8932;93.9396
2011;5;3.0518;12820;78.2471;4.3314;14.226;0.9292;95.9949
2011;7;4.2725;19840;121.0938;6.5689;9.9257;0.8824;93.226
2011;12;7.3242;18610;113.5864;6.2335;5.7425;0.8892;93.5806
2011;10;6.1035;18030;110.0464;6.0714;7.035;0.8926;93.8714
2011;10;6.1035;17310;105.6519;5.9053;7.058;0.8956;94.0561
2011;8;4.8828;18020;109.9854;5.8512;8.7425;0.8971;94.1027
